average,country,highestInningScore,inningsBatted,matchesPlayes,name,notOuts,runs,span
39.54, (ENG),162,44,25,BC Broad,2,1661,1984-1989
30.75, (ENG),138,55,31,JT Tyldesley,1,1661,1899-1909
28.56, (AUS),178,60,34,J Darling,2,1657,1894-1905
46.74, (ENG),205*,38,23,J Hardstaff jnr,3,1636,1935-1948
32.05, (NZ),214,56,33,MS Sinclair,5,1635,1999-2010
33.95, (SA),162*,52,28,WR Endean,4,1630,1951-1958
39.56, (AUS),127,46,25,RB McCosker,5,1622,1975-1980
26.91, (ZIM),118,66,37,SV Carlisle,6,1615,1995-2005
31.58, (INDIA),108,52,31,NJ Contractor,1,1611,1955-1962
33.45, (INDIA),140,59,37,Yashpal Sharma,11,1606,1979-1983
26.24, (NZ),128,65,39,JJ Crowe,4,1601,1983-1990
36.38, (ENG),175,49,29,RT Robinson,5,1601,1984-1989
32.65, (INDIA),120,58,39,M Prabhakar,9,1600,1984-1995
33.91, (AUS),127,53,31,AP Sheahan,6,1594,1967-1974
46.82, (AUS),206*,35,22,WA Brown,1,1592,1934-1948
36.93, (INDIA),174,47,29,SM Patil,4,1588,1980-1984
36.04, (NZ),170,48,29,SB Styris,4,1586,2002-2007
37.92, (SA),120,43,24,RH Catterall,2,1555,1922-1931
30.31, (ZIM),153,54,28,T Taibu,3,1546,2001-2012
59.23, (ENG),243,31,20,E Paynter,5,1540,1931-1939
32.65, (AUS),160,49,26,PJ Hughes,2,1535,2009-2013
30.50, (WI),125*,58,32,SO Dowrich,8,1525,2015-2020
26.71, (WI),147,60,32,SD Hope,3,1523,2015-2020
22.27, (AUS),99,85,57,MA Starc,17,1515,2011-2020
30.20, (NZ),117*,56,31,BF Hastings,6,1510,1969-1976
33.48, (AUS),89,52,37,KD Mackay,7,1507,1956-1963
21.15, (AUS),118,84,61,RR Lindwall,13,1502,1946-1960
36.63, (PAK),210,43,26,Qasim Umar,2,1502,1983-1986
37.45, (ENG),156,42,23,GS Ballance,2,1498,2014-2017
